id,userId,user,avatar,vehicle,vehicleId,type,ownerId,city,from,to,days,amount,status,doubleBook,createdAt
BK0039,U024,Rahul,R,Yamaha FZ,880,Bike,OWN0860,Dehradun,2024-01-19,2024-01-25,6,3636,upcoming,False,2024-01-08
BK0040,U055,Priya,P,Yamaha R15,253,Bike,OWN0908,Rishikesh,2024-01-17,2024-01-20,3,2046,upcoming,False,2024-01-12
BK0041,U227,Sneha,S,TVS Apache RTR 160,388,Bike,OWN0946,Dehradun,2024-01-24,2024-01-28,4,2332,upcoming,False,2024-01-04
BK0042,U368,Karan,K,RE Classic 350,340,Bike,OWN0591,Dehradun,2024-03-16,2024-03-19,3,2118,completed,False,2024-02-03
BK0043,U100,Rahul,R,Ola S1,917,Scooty,OWN0024,Auli,2024-03-07,2024-03-08,1,628,cancelled,False,2024-02-08
BK0044,U128,Rohit,R,Baleno,447,Car,OWN0945,Dehradun,2024-02-17,2024-02-22,5,9210,completed,False,2024-01-06
BK0045,U454,Sneha,S,Yamaha R15,40,Bike,OWN0167,Rishikesh,2024-03-24,2024-03-30,6,4320,completed,False,2024-03-15
BK0046,U248,Karan,K,Yamaha FZ,496,Bike,OWN0164,Nainital,2024-03-27,2024-03-28,1,585,upcoming,False,2024-01-03
BK0047,U209,Karan,K,Hero Splendor Plus,151,Bike,OWN0116,Nainital,2024-03-15,2024-03-21,6,2058,completed,False,2024-02-29
BK0048,U310,Aman,A,TVS Apache RTR 160,130,Bike,OWN0886,Mussoorie,2024-02-13,2024-02-17,4,1992,completed,False,2024-01-14
BK0049,U439,Aman,A,RE Classic 350,166,Bike,OWN0204,Dehradun,2024-01-15,2024-01-20,5,3620,ongoing,False,2024-01-10
BK0050,U043,Rohit,R,Creta,762,Car,OWN0911,Dehradun,2024-04-03,2024-04-04,1,2574,upcoming,False,2024-03-20
BK0051,U080,Arjun,A,Ola S1,161,Scooty,OWN0933,Dehradun,2024-03-16,2024-03-17,1,627,upcoming,False,2024-03-13
BK0052,U461,Rohit,R,Sonet,78,Car,OWN0158,Rishikesh,2024-02-11,2024-02-18,7,15316,ongoing,False,2024-01-30
BK0053,U223,Pooja,P,Honda Activa,797,Scooty,OWN0513,Rishikesh,2024-01-15,2024-01-19,4,2324,cancelled,True,2024-01-03
BK0054,U290,Sneha,S,TVS Jupiter,527,Scooty,OWN0494,Dehradun,2024-02-27,2024-03-04,6,3426,upcoming,True,2024-02-11
BK0055,U150,Aman,A,Yamaha FZ,355,Bike,OWN0639,Chakrata,2024-03-17,2024-03-24,7,4137,cancelled,False,2024-01-11
BK0056,U192,Rohit,R,WagonR,885,Car,OWN0003,Mussoorie,2024-01-08,2024-01-10,2,2800,completed,False,2024-01-01
BK0057,U006,Aditi,A,RE Classic 350,829,Bike,OWN0910,Dehradun,2024-01-01,2024-01-03,2,1450,completed,False,2024-01-01
BK0058,U381,Priya,P,Honda Activa,827,Scooty,OWN0543,Mussoorie,2024-02-01,2024-02-06,5,2780,upcoming,False,2024-01-03
BK0059,U455,Priya,P,Nexon,219,Car,OWN0306,Dehradun,2024-02-09,2024-02-15,6,12300,upcoming,False,2024-01-04
BK0060,U088,Aman,A,Nexon,609,Car,OWN0330,Dehradun,2024-03-05,2024-03-08,3,6432,ongoing,False,2024-02-20
BK0061,U025,Rohit,R,TVS Apache RTR 160,244,Bike,OWN0105,Dehradun,2024-01-07,2024-01-13,6,2760,completed,True,2024-01-07
BK0062,U369,Karan,K,Bajaj Avenger 220,808,Bike,OWN0963,Mussoorie,2024-02-04,2024-02-06,2,1280,ongoing,False,2024-01-30
BK0063,U348,Karan,K,i10,357,Car,OWN0009,Dehradun,2024-03-21,2024-03-24,3,4998,completed,False,2024-01-19
BK0064,U123,Arjun,A,Bajaj Avenger 220,808,Bike,OWN0963,Mussoorie,2024-03-10,2024-03-14,4,2560,upcoming,False,2024-01-10
BK0065,U455,Priya,P,Bajaj Pulsar 150,250,Bike,OWN0896,Rishikesh,2024-03-11,2024-03-18,7,3094,cancelled,False,2024-01-23
BK0066,U037,Rohit,R,Ather 450X,50,Scooty,OWN0925,Mussoorie,2024-02-10,2024-02-17,7,4893,completed,False,2024-01-18
BK0067,U193,Neha,N,TVS Jupiter,62,Scooty,OWN0730,Mussoorie,2024-03-10,2024-03-11,1,638,completed,False,2024-01-01
BK0068,U051,Sneha,S,RE Classic 350,241,Bike,OWN0544,Rishikesh,2024-03-25,2024-03-30,5,3610,upcoming,False,2024-01-31
BK0069,U089,Arjun,A,Baleno,33,Car,OWN0527,Nainital,2024-03-11,2024-03-18,7,12012,cancelled,False,2024-01-10
BK0070,U452,Priya,P,Swift,771,Car,OWN0879,Rishikesh,2024-02-19,2024-02-25,6,8334,upcoming,False,2024-02-19
BK0071,U327,Aditi,A,RE Classic 350,421,Bike,OWN0129,Dehradun,2024-02-23,2024-02-25,2,1418,completed,False,2024-02-06
BK0072,U347,Sneha,S,Maruti Alto,684,Car,OWN0142,Rishikesh,2024-01-12,2024-01-18,6,7878,upcoming,False,2024-01-08
BK0073,U126,Neha,N,Sonet,756,Car,OWN0180,Rishikesh,2024-03-17,2024-03-21,4,8104,completed,False,2024-03-06
BK0074,U304,Arjun,A,KTM Duke 200,724,Bike,OWN0951,Rishikesh,2024-03-23,2024-03-26,3,2067,upcoming,False,2024-01-24
BK0075,U024,Rahul,R,Ola S1,44,Scooty,OWN0612,Mussoorie,2024-02-15,2024-02-16,1,626,completed,False,2024-02-14
BK0076,U368,Karan,K,RE Classic 350,103,Bike,OWN0869,Haridwar,2024-01-07,2024-01-14,7,4284,upcoming,False,2024-01-04
BK0077,U059,Pooja,P,Bajaj Avenger 220,445,Bike,OWN0101,Mussoorie,2024-02-04,2024-02-06,2,1326,upcoming,False,2024-01-02
BK0078,U407,Rohit,R,Bajaj Pulsar 150,670,Bike,OWN0782,Dehradun,2024-03-09,2024-03-15,6,2226,upcoming,False,2024-01-24
BK0079,U111,Karan,K,Suzuki Access,470,Scooty,OWN0475,Dehradun,2024-03-08,2024-03-09,1,650,completed,False,2024-01-15
BK0080,U452,Priya,P,TVS Ntorq,800,Scooty,OWN0851,Dehradun,2024-01-11,2024-01-16,5,3380,upcoming,False,2024-01-11
BK0081,U156,Sneha,S,TVS Jupiter,371,Scooty,OWN0102,Auli,2024-02-16,2024-02-19,3,1842,ongoing,False,2024-01-10
BK0082,U316,Priya,P,Baleno,405,Car,OWN0555,Haridwar,2024-02-13,2024-02-16,3,4845,completed,False,2024-02-08
BK0083,U096,Aman,A,Baleno,465,Car,OWN0329,Haridwar,2024-03-04,2024-03-08,4,6668,completed,False,2024-02-27
BK0084,U376,Karan,K,Suzuki Access,701,Scooty,OWN0411,Dehradun,2024-01-15,2024-01-22,7,4186,cancelled,False,2024-01-09
BK0085,U257,Neha,N,Swift,426,Car,OWN0104,Haridwar,2024-01-19,2024-01-26,7,10850,ongoing,False,2024-01-12
BK0086,U206,Priya,P,Ola S1,110,Scooty,OWN0090,Dehradun,2024-04-04,2024-04-06,2,1296,ongoing,False,2024-02-18
BK0087,U473,Pooja,P,Swift,795,Car,OWN0179,Rishikesh,2024-03-10,2024-03-14,4,6172,completed,False,2024-02-17
BK0088,U187,Pooja,P,Sonet,507,Car,OWN0897,Dehradun,2024-02-28,2024-03-01,2,4002,completed,False,2024-02-24
BK0089,U437,Rahul,R,Bajaj Avenger 220,538,Bike,OWN0486,Lansdowne,2024-04-05,2024-04-09,4,2288,completed,False,2024-01-06
BK0090,U085,Priya,P,Baleno,747,Car,OWN0942,Mussoorie,2024-01-28,2024-01-30,2,3598,cancelled,False,2024-01-23
BK0091,U390,Aman,A,RE Classic 350,979,Bike,OWN0598,Dehradun,2024-03-26,2024-03-29,3,1908,completed,False,2024-02-08
BK0092,U153,Arjun,A,Creta,807,Car,OWN0161,Mussoorie,2024-02-18,2024-02-22,4,10832,completed,False,2024-01-14
BK0093,U373,Aditi,A,Honda Activa,224,Scooty,OWN0157,Nainital,2024-02-07,2024-02-08,1,620,cancelled,False,2024-01-30
BK0094,U214,Priya,P,Creta,798,Car,OWN0525,Rishikesh,2024-03-28,2024-03-29,1,2606,completed,False,2024-03-26
BK0095,U053,Aman,A,Baleno,384,Car,OWN0056,Chakrata,2024-02-07,2024-02-09,2,3226,upcoming,False,2024-01-26
BK0096,U273,Sneha,S,Ola S1,755,Scooty,OWN0579,Haridwar,2024-01-27,2024-01-31,4,2788,ongoing,False,2024-01-01
BK0097,U431,Neha,N,Suzuki Access,257,Scooty,OWN0387,Dehradun,2024-02-10,2024-02-14,4,2484,completed,False,2024-02-06
BK0098,U199,Rohit,R,Honda Activa,608,Scooty,OWN0959,Mussoorie,2024-03-02,2024-03-07,5,3210,completed,False,2024-02-05
BK0099,U287,Karan,K,Yamaha R15,799,Bike,OWN0465,Mussoorie,2024-01-01,2024-01-03,2,1298,completed,False,2024-01-01
BK0100,U250,Priya,P,TVS Apache RTR 160,700,Bike,OWN0158,Dehradun,2024-03-23,2024-03-28,5,2590,completed,False,2024-01-30
BK0101,U354,Pooja,P,Sonet,864,Car,OWN0533,Mussoorie,2024-04-07,2024-04-08,1,2059,completed,False,2024-01-24
BK0102,U383,Neha,N,i10,975,Car,OWN0558,Rishikesh,2024-03-31,2024-04-02,2,3172,upcoming,False,2024-03-23
BK0103,U086,Neha,N,City,495,Car,OWN0756,Mussoorie,2024-02-19,2024-02-20,1,2484,completed,False,2024-01-18
BK0104,U033,Arjun,A,City,45,Car,OWN0838,Dehradun,2024-01-07,2024-01-10,3,7755,completed,False,2024-01-06
BK0105,U075,Aman,A,Honda Activa,593,Scooty,OWN0865,Haridwar,2024-01-11,2024-01-12,1,620,upcoming,False,2024-01-03
BK0106,U263,Pooja,P,Ola S1,161,Scooty,OWN0933,Dehradun,2024-03-02,2024-03-05,3,1881,completed,False,2024-01-02
BK0107,U045,Aditi,A,Hero Splendor Plus,550,Bike,OWN0203,Rishikesh,2024-02-27,2024-02-28,1,354,cancelled,False,2024-01-26
BK0108,U334,Aman,A,RE Classic 350,55,Bike,OWN0471,Haridwar,2024-03-02,2024-03-09,7,4368,completed,False,2024-02-03
BK0109,U314,Arjun,A,Baleno,747,Car,OWN0942,Mussoorie,2024-04-03,2024-04-10,7,12593,upcoming,False,2024-03-14
BK0110,U245,Sneha,S,Yamaha R15,916,Bike,OWN0398,Haridwar,2024-03-15,2024-03-18,3,1833,upcoming,False,2024-01-08
BK0111,U162,Pooja,P,RE Classic 350,166,Bike,OWN0204,Dehradun,2024-01-18,2024-01-25,7,5068,completed,False,2024-01-04
BK0112,U143,Neha,N,TVS Ntorq,560,Scooty,OWN0346,Nainital,2024-02-22,2024-02-29,7,4641,completed,False,2024-01-23
BK0113,U265,Aman,A,Sonet,756,Car,OWN0180,Rishikesh,2024-03-11,2024-03-12,1,2026,upcoming,False,2024-01-14
BK0114,U482,Karan,K,Bajaj Pulsar 150,913,Bike,OWN0716,Mussoorie,2024-02-25,2024-02-26,1,529,completed,False,2024-02-10
BK0115,U411,Arjun,A,City,702,Car,OWN0974,Dehradun,2024-03-31,2024-04-07,7,16884,completed,False,2024-02-01
BK0116,U049,Arjun,A,KTM Duke 200,418,Bike,OWN0294,Mussoorie,2024-01-13,2024-01-15,2,1410,completed,False,2024-01-06
BK0117,U427,Pooja,P,RE Classic 350,361,Bike,OWN0877,Mussoorie,2024-01-23,2024-01-27,4,2680,cancelled,False,2024-01-14
BK0118,U053,Aman,A,i10,429,Car,OWN0850,Dehradun,2024-02-09,2024-02-14,5,8700,upcoming,False,2024-02-01
BK0119,U468,Rahul,R,Suzuki Access,575,Scooty,OWN0614,Dehradun,2024-01-10,2024-01-15,5,2880,completed,False,2024-01-04
BK0120,U270,Rohit,R,Yamaha FZ,874,Bike,OWN0782,Dehradun,2024-03-31,2024-04-06,6,3732,upcoming,False,2024-03-15
BK0121,U028,Aditi,A,Creta,402,Car,OWN0534,Mussoorie,2024-01-22,2024-01-27,5,13975,cancelled,True,2024-01-07
BK0122,U330,Rohit,R,KTM Duke 200,844,Bike,OWN0654,Mussoorie,2024-03-04,2024-03-05,1,733,completed,False,2024-03-04
BK0123,U179,Rohit,R,Ola S1,194,Scooty,OWN0243,Haridwar,2024-03-28,2024-04-04,7,4417,cancelled,False,2024-02-19
BK0124,U114,Aman,A,City,822,Car,OWN0780,Haridwar,2024-01-25,2024-01-31,6,14496,ongoing,False,2024-01-08
BK0125,U040,Rohit,R,Ather 450X,482,Scooty,OWN0447,Nainital,2024-03-08,2024-03-13,5,3325,completed,False,2024-01-05
BK0126,U387,Aditi,A,Ola S1,869,Scooty,OWN0793,Haridwar,2024-02-09,2024-02-10,1,625,cancelled,False,2024-01-04
BK0127,U125,Sneha,S,Honda Activa,488,Scooty,OWN0765,Rishikesh,2024-01-21,2024-01-27,6,3882,upcoming,False,2024-01-10
BK0128,U191,Rohit,R,Yamaha R15,529,Bike,OWN0009,Haridwar,2024-02-12,2024-02-19,7,4900,upcoming,False,2024-01-27
BK0129,U463,Sneha,S,Bajaj Pulsar 150,991,Bike,OWN0805,Dehradun,2024-01-31,2024-02-07,7,3157,cancelled,False,2024-01-19
BK0130,U281,Sneha,S,Sonet,777,Car,OWN0185,Rishikesh,2024-01-16,2024-01-23,7,15372,completed,False,2024-01-09
BK0131,U376,Karan,K,Honda Activa,224,Scooty,OWN0157,Nainital,2024-03-21,2024-03-26,5,3100,completed,False,2024-02-11
BK0132,U398,Rohit,R,KTM Duke 200,985,Bike,OWN0045,Dehradun,2024-01-14,2024-01-17,3,2289,ongoing,False,2024-01-02
BK0133,U427,Pooja,P,Baleno,615,Car,OWN0318,Dehradun,2024-04-04,2024-04-10,6,9624,completed,False,2024-01-09
BK0134,U323,Aditi,A,Hero Splendor Plus,757,Bike,OWN0598,Rishikesh,2024-02-02,2024-02-09,7,2835,upcoming,False,2024-01-12
BK0135,U464,Aditi,A,Bajaj Pulsar 150,958,Bike,OWN0798,Rishikesh,2024-03-31,2024-04-01,1,413,completed,False,2024-02-21
BK0136,U416,Sneha,S,Maruti Alto,39,Car,OWN0766,Lansdowne,2024-03-30,2024-03-31,1,1341,upcoming,False,2024-03-14
BK0137,U307,Aditi,A,Yamaha FZ,268,Bike,OWN0458,Dehradun,2024-02-03,2024-02-06,3,1644,completed,False,2024-01-17
BK0138,U163,Arjun,A,i20,240,Car,OWN0463,Mussoorie,2024-02-10,2024-02-11,1,1793,completed,False,2024-01-04
BK0139,U309,Priya,P,i20,249,Car,OWN0824,Dehradun,2024-04-08,2024-04-09,1,1918,upcoming,False,2024-03-07
BK0140,U339,Rahul,R,Ola S1,755,Scooty,OWN0579,Haridwar,2024-03-20,2024-03-23,3,2091,completed,False,2024-02-24
BK0141,U357,Neha,N,i20,678,Car,OWN0743,Haridwar,2024-02-16,2024-02-19,3,5331,upcoming,False,2024-01-09
BK0142,U323,Aditi,A,Sonet,285,Car,OWN0394,Haridwar,2024-01-05,2024-01-11,6,12888,upcoming,False,2024-01-05
BK0143,U310,Aman,A,Baleno,888,Car,OWN0802,Haridwar,2024-03-30,2024-04-01,2,3372,completed,False,2024-03-22
BK0144,U398,Rohit,R,Ola S1,914,Scooty,OWN0202,Rishikesh,2024-02-12,2024-02-14,2,1272,upcoming,False,2024-01-06
BK0145,U215,Aman,A,City,411,Car,OWN0280,Nainital,2024-01-09,2024-01-14,5,12565,completed,False,2024-01-04
BK0146,U494,Arjun,A,Bajaj Pulsar 150,637,Bike,OWN0567,Rishikesh,2024-01-25,2024-01-29,4,1984,ongoing,False,2024-01-16
BK0147,U355,Aman,A,Honda Activa,140,Scooty,OWN0652,Nainital,2024-03-02,2024-03-03,1,644,upcoming,False,2024-01-19
BK0148,U500,Aditi,A,Maruti Alto,12,Car,OWN0112,Rishikesh,2024-01-24,2024-01-30,6,6510,completed,False,2024-01-06
BK0149,U331,Karan,K,TVS Apache RTR 160,175,Bike,OWN0813,Haridwar,2024-02-04,2024-02-10,6,2658,completed,False,2024-02-03
BK0150,U451,Neha,N,Bajaj Pulsar 150,811,Bike,OWN0970,Rishikesh,2024-04-02,2024-04-09,7,3164,completed,False,2024-01-08
BK0151,U211,Rahul,R,Nexon,690,Car,OWN0764,Dehradun,2024-01-24,2024-01-26,2,4172,cancelled,False,2024-01-11
BK0152,U158,Rohit,R,Maruti Alto,924,Car,OWN0704,Dehradun,2024-01-13,2024-01-14,1,1321,upcoming,False,2024-01-13
BK0153,U159,Arjun,A,Yamaha R15,298,Bike,OWN0356,Rishikesh,2024-01-22,2024-01-25,3,2220,completed,False,2024-01-18
BK0154,U447,Neha,N,Yamaha FZ,874,Bike,OWN0782,Dehradun,2024-01-20,2024-01-23,3,1866,cancelled,False,2024-01-01
BK0155,U081,Neha,N,Yamaha Fascino,710,Scooty,OWN0754,Rishikesh,2024-02-01,2024-02-04,3,1590,cancelled,False,2024-01-20
BK0156,U225,Aditi,A,Ather 450X,422,Scooty,OWN0333,Dehradun,2024-03-30,2024-04-02,3,2247,completed,False,2024-03-06
BK0157,U219,Pooja,P,TVS Ntorq,674,Scooty,OWN0676,Dehradun,2024-02-13,2024-02-14,1,690,ongoing,False,2024-01-01
BK0158,U314,Arjun,A,City,822,Car,OWN0780,Haridwar,2024-02-06,2024-02-11,5,12080,completed,False,2024-01-23
BK0159,U099,Aman,A,i20,636,Car,OWN0205,Mussoorie,2024-03-20,2024-03-25,5,9675,cancelled,False,2024-01-25
BK0160,U240,Aditi,A,Yamaha R15,40,Bike,OWN0167,Rishikesh,2024-02-09,2024-02-12,3,2160,upcoming,False,2024-01-21
BK0161,U048,Pooja,P,Suzuki Access,701,Scooty,OWN0411,Dehradun,2024-03-20,2024-03-26,6,3588,completed,False,2024-01-23
BK0162,U198,Neha,N,TVS Ntorq,881,Scooty,OWN0047,Rishikesh,2024-03-26,2024-03-27,1,610,cancelled,False,2024-03-23
BK0163,U103,Karan,K,Ola S1,326,Scooty,OWN0891,Rishikesh,2024-02-10,2024-02-14,4,2736,upcoming,False,2024-02-06
BK0164,U304,Arjun,A,Nexon,180,Car,OWN0810,Mussoorie,2024-03-22,2024-03-23,1,2317,completed,False,2024-02-18
BK0165,U365,Sneha,S,KTM Duke 200,391,Bike,OWN0902,Rishikesh,2024-03-15,2024-03-19,4,2716,upcoming,False,2024-02-24
BK0166,U308,Neha,N,Yamaha FZ,178,Bike,OWN0574,Chakrata,2024-01-22,2024-01-29,7,3759,upcoming,False,2024-01-08
BK0167,U276,Sneha,S,Sonet,393,Car,OWN0930,Dehradun,2024-03-13,2024-03-14,1,2171,completed,False,2024-01-09
BK0168,U321,Priya,P,Nexon,843,Car,OWN0962,Mussoorie,2024-01-25,2024-01-30,5,11725,upcoming,False,2024-01-20
BK0169,U407,Rohit,R,Swift,237,Car,OWN0369,Mussoorie,2024-02-09,2024-02-16,7,9723,completed,False,2024-01-10
BK0170,U151,Rahul,R,Baleno,3,Car,OWN0952,Rishikesh,2024-02-24,2024-02-28,4,7260,cancelled,False,2024-02-17
BK0171,U097,Rohit,R,RE Classic 350,277,Bike,OWN0254,Rishikesh,2024-01-25,2024-01-29,4,2384,completed,False,2024-01-22
BK0172,U265,Aman,A,Swift,552,Car,OWN0329,Haridwar,2024-01-30,2024-02-04,5,7795,completed,False,2024-01-16
BK0173,U190,Rohit,R,i20,105,Car,OWN0471,Rishikesh,2024-03-08,2024-03-14,6,10542,completed,False,2024-02-02
BK0174,U375,Pooja,P,Maruti Alto,39,Car,OWN0766,Lansdowne,2024-02-25,2024-03-01,5,6705,cancelled,False,2024-02-21
BK0175,U148,Aman,A,Nexon,180,Car,OWN0810,Mussoorie,2024-02-01,2024-02-04,3,6951,cancelled,False,2024-01-25
BK0176,U484,Priya,P,i20,636,Car,OWN0205,Mussoorie,2024-03-11,2024-03-13,2,3870,completed,False,2024-02-27
BK0177,U138,Sneha,S,Creta,210,Car,OWN0693,Haridwar,2024-01-03,2024-01-06,3,8109,upcoming,False,2024-01-01
BK0178,U499,Priya,P,Bajaj Pulsar 150,778,Bike,OWN0068,Dehradun,2024-03-12,2024-03-19,7,3451,upcoming,False,2024-03-07
BK0179,U414,Karan,K,Bajaj Pulsar 150,637,Bike,OWN0567,Rishikesh,2024-03-18,2024-03-21,3,1488,completed,False,2024-03-02
BK0180,U432,Priya,P,Ola S1,647,Scooty,OWN0639,Rishikesh,2024-01-02,2024-01-09,7,4312,completed,False,2024-01-02
BK0181,U146,Aditi,A,Ather 450X,335,Scooty,OWN0015,Auli,2024-02-11,2024-02-13,2,1444,upcoming,False,2024-01-31
BK0182,U208,Rahul,R,Yamaha FZ,337,Bike,OWN0223,Mussoorie,2024-02-03,2024-02-04,1,578,ongoing,False,2024-02-03
BK0183,U104,Arjun,A,TVS Jupiter,5,Scooty,OWN0421,Lansdowne,2024-04-07,2024-04-08,1,579,upcoming,False,2024-02-13
BK0184,U141,Rahul,R,Honda Activa,140,Scooty,OWN0652,Nainital,2024-03-06,2024-03-11,5,3220,ongoing,False,2024-02-05
BK0185,U146,Aditi,A,Yamaha Fascino,758,Scooty,OWN0727,Dehradun,2024-03-19,2024-03-25,6,3684,upcoming,False,2024-02-18
BK0186,U265,Aman,A,Suzuki Access,986,Scooty,OWN0856,Nainital,2024-02-25,2024-02-29,4,2516,ongoing,False,2024-02-09
BK0187,U297,Arjun,A,TVS Apache RTR 160,265,Bike,OWN0446,Mussoorie,2024-01-03,2024-01-07,4,1980,ongoing,False,2024-01-02
BK0188,U359,Arjun,A,Yamaha FZ,874,Bike,OWN0782,Dehradun,2024-03-23,2024-03-30,7,4354,completed,False,2024-02-25
BK0189,U300,Aditi,A,Yamaha Fascino,53,Scooty,OWN0630,Dehradun,2024-02-03,2024-02-04,1,559,upcoming,False,2024-01-06
BK0190,U042,Sneha,S,Maruti Alto,27,Car,OWN0212,Dehradun,2024-01-28,2024-02-04,7,8358,upcoming,False,2024-01-23
BK0191,U478,Karan,K,i20,969,Car,OWN0358,Nainital,2024-01-14,2024-01-18,4,7388,completed,False,2024-01-14
BK0192,U184,Rohit,R,i10,429,Car,OWN0850,Dehradun,2024-04-03,2024-04-07,4,6960,completed,True,2024-02-13
