id,code,type,discount,from,to,uses,maxUses,active,city,vehicleType,createdBy
PRO0028,HILL25NOW,Percentage,25,2024-03-22,2024-03-26,317,500,True,Nainital,All,Priya Admin
PRO0029,CAR15,Percentage,15,2024-03-26,2024-04-22,489,500,True,Rishikesh,Car,Priya Admin
PRO0030,WEEKEND20NOW,Percentage,20,2024-01-12,2024-01-16,470,500,True,Dehradun,Scooty,Priya Admin
PRO0031,SAVE250DEAL,Flat,250,2024-03-11,2024-03-25,341,500,True,All,Scooty,Arjun Sharma
PRO0032,SPEED500DEAL,Flat,500,2024-03-04,2024-03-20,309,500,False,Haridwar,All,Arjun Sharma
PRO0033,MOUNTAIN15OFF,Percentage,15,2024-02-06,2024-03-04,457,500,True,Rishikesh,Bike,Priya Admin
PRO0034,SAVE150,Flat,150,2024-03-06,2024-04-05,330,100,True,Rishikesh,Car,Priya Admin
PRO0035,SPEED25OFF,Percentage,25,2024-03-07,2024-03-17,364,500,True,Dehradun,Car,Arjun Sharma
PRO0036,SUMMER5OFF,Percentage,5,2024-03-25,2024-04-08,39,200,True,Dehradun,All,Priya Admin
PRO0037,SAVE10NOW,Percentage,10,2024-03-03,2024-03-22,96,500,True,All,Bike,Priya Admin
PRO0038,BIKE30,Percentage,30,2024-01-23,2024-02-02,247,1000,True,Haridwar,Scooty,Arjun Sharma
PRO0039,FLAT15,Percentage,15,2024-03-07,2024-03-27,485,500,False,Dehradun,Car,Priya Admin
PRO0040,SAVE50NOW,Flat,50,2024-03-08,2024-03-25,140,100,False,Dehradun,Scooty,Arjun Sharma
PRO0041,SPEED50DEAL,Flat,50,2024-03-03,2024-03-17,224,1000,True,Lansdowne,All,Priya Admin
PRO0042,SAVE25DEAL,Percentage,25,2024-02-01,2024-02-27,76,500,True,Mussoorie,Car,Priya Admin
PRO0043,CAR150OFF,Flat,150,2024-01-10,2024-01-31,148,100,True,Dehradun,Scooty,Arjun Sharma
PRO0044,SUMMER250NOW,Flat,250,2024-02-02,2024-02-05,432,100,False,Dehradun,Scooty,Priya Admin
PRO0045,RIDE15OFF,Percentage,15,2024-02-09,2024-02-22,252,500,False,Dehradun,Car,Priya Admin
PRO0046,SUMMER15NOW,Percentage,15,2024-02-25,2024-03-20,350,500,False,Rishikesh,Scooty,Arjun Sharma
PRO0047,SAVE20,Percentage,20,2024-02-24,2024-03-14,370,500,True,Rishikesh,Scooty,Arjun Sharma
PRO0048,SUMMER25,Percentage,25,2024-01-01,2024-01-19,191,1000,True,Haridwar,Car,Priya Admin
PRO0049,SUMMER15DEAL,Percentage,15,2024-03-15,2024-03-29,298,500,True,Auli,Scooty,Arjun Sharma
PRO0050,HILL250OFF,Flat,250,2024-01-05,2024-02-04,304,1000,True,Dehradun,All,Priya Admin
PRO0051,SPEED25,Percentage,25,2024-03-07,2024-03-12,159,500,True,Mussoorie,Bike,Arjun Sharma
PRO0052,HILL25,Percentage,25,2024-03-18,2024-03-22,403,500,False,Rishikesh,Car,Priya Admin
PRO0053,WEEKEND10NOW,Percentage,10,2024-01-03,2024-01-27,343,100,True,Nainital,All,Arjun Sharma
PRO0054,RIDE25,Percentage,25,2024-03-02,2024-03-12,14,200,True,Chakrata,Bike,Arjun Sharma
PRO0055,HILL100OFF,Flat,100,2024-01-22,2024-01-31,426,1000,True,Rishikesh,Car,Arjun Sharma
PRO0056,FLAT30,Percentage,30,2024-02-19,2024-02-23,24,500,True,Rishikesh,Car,Arjun Sharma
PRO0057,SAVE20,Percentage,20,2024-03-25,2024-04-08,105,100,False,Lansdowne,Car,Arjun Sharma
PRO0058,FLAT100,Flat,100,2024-02-09,2024-03-09,99,500,False,Mussoorie,Car,Arjun Sharma
PRO0059,WEEKEND50,Flat,50,2024-03-22,2024-04-06,312,500,True,Mussoorie,Scooty,Priya Admin
PRO0060,SAVE30OFF,Percentage,30,2024-02-10,2024-02-15,58,1000,True,Auli,All,Arjun Sharma
PRO0061,TREK150,Flat,150,2024-02-23,2024-03-06,498,200,False,All,Bike,Priya Admin
PRO0062,GO5,Percentage,5,2024-02-22,2024-02-29,337,200,True,Mussoorie,Bike,Priya Admin
PRO0063,GO250,Flat,250,2024-03-19,2024-03-28,163,500,True,All,Bike,Arjun Sharma
PRO0064,SAVE50NOW,Flat,50,2024-03-23,2024-04-10,164,200,True,Haridwar,Scooty,Priya Admin
PRO0065,MOUNTAIN150,Flat,150,2024-02-10,2024-02-16,433,500,False,Haridwar,Car,Priya Admin
PRO0066,HILL25NOW,Percentage,25,2024-01-25,2024-02-10,216,500,False,Dehradun,All,Arjun Sharma
PRO0067,SUMMER10OFF,Percentage,10,2024-01-17,2024-02-09,114,500,True,Auli,Car,Arjun Sharma
PRO0068,GO15OFF,Percentage,15,2024-02-06,2024-03-03,422,500,True,Auli,Car,Priya Admin
PRO0069,TREK250OFF,Flat,250,2024-03-05,2024-03-24,316,1000,False,All,Bike,Priya Admin
PRO0070,WEEKEND15,Percentage,15,2024-02-06,2024-02-15,438,200,False,Haridwar,Car,Arjun Sharma
PRO0071,RIDE15DEAL,Percentage,15,2024-01-09,2024-01-27,404,1000,True,All,Scooty,Arjun Sharma
PRO0072,HILL200DEAL,Flat,200,2024-01-14,2024-01-28,212,100,True,Dehradun,All,Arjun Sharma
PRO0073,SUMMER5OFF,Percentage,5,2024-01-21,2024-01-29,107,500,True,Rishikesh,Bike,Arjun Sharma
PRO0074,MOUNTAIN250OFF,Flat,250,2024-03-06,2024-03-16,78,500,True,Rishikesh,Car,Arjun Sharma
PRO0075,MOUNTAIN20NOW,Percentage,20,2024-01-30,2024-02-22,380,200,True,Rishikesh,Bike,Priya Admin
PRO0076,SAVE15DEAL,Percentage,15,2024-03-23,2024-03-27,63,500,True,Mussoorie,Scooty,Priya Admin
PRO0077,CAR5DEAL,Percentage,5,2024-03-27,2024-04-02,389,500,True,Dehradun,Car,Arjun Sharma
PRO0078,SPEED10OFF,Percentage,10,2024-03-31,2024-04-24,172,500,False,Rishikesh,All,Arjun Sharma
PRO0079,TREK30,Percentage,30,2024-02-19,2024-03-19,361,200,True,All,Car,Priya Admin
PRO0080,MOUNTAIN25OFF,Percentage,25,2024-02-28,2024-03-09,360,500,True,Rishikesh,Car,Arjun Sharma
PRO0081,CAR250OFF,Flat,250,2024-03-01,2024-03-17,322,1000,True,Dehradun,Bike,Priya Admin
PRO0082,BIKE150OFF,Flat,150,2024-01-03,2024-01-27,7,500,True,Haridwar,Scooty,Arjun Sharma
PRO0083,GO50NOW,Flat,50,2024-03-02,2024-03-27,253,500,False,Mussoorie,Bike,Arjun Sharma
PRO0084,GO30NOW,Percentage,30,2024-03-13,2024-03-25,139,1000,True,Dehradun,All,Arjun Sharma
PRO0085,FLAT10DEAL,Percentage,10,2024-02-07,2024-02-12,57,1000,False,Rishikesh,Scooty,Arjun Sharma
PRO0086,RIDE100OFF,Flat,100,2024-02-12,2024-02-21,450,1000,True,Mussoorie,Scooty,Priya Admin
PRO0087,GO250DEAL,Flat,250,2024-02-25,2024-03-24,416,500,False,Rishikesh,All,Arjun Sharma
PRO0088,TREK100NOW,Flat,100,2024-01-09,2024-01-13,181,100,True,Haridwar,Scooty,Arjun Sharma
PRO0089,SAVE300OFF,Flat,300,2024-02-16,2024-03-11,40,100,True,Rishikesh,All,Arjun Sharma
PRO0090,MOUNTAIN30NOW,Percentage,30,2024-01-08,2024-02-01,169,500,True,Mussoorie,Car,Priya Admin
PRO0091,GO250DEAL,Flat,250,2024-01-25,2024-02-07,104,500,False,Dehradun,Car,Priya Admin
PRO0092,FLAT100,Flat,100,2024-01-13,2024-01-21,221,100,True,Haridwar,All,Arjun Sharma
PRO0093,CAR30,Percentage,30,2024-02-04,2024-02-08,446,500,True,Rishikesh,Car,Arjun Sharma
PRO0094,WEEKEND50,Flat,50,2024-02-15,2024-03-14,178,100,False,Haridwar,Car,Priya Admin
PRO0095,TREK300NOW,Flat,300,2024-01-21,2024-02-12,465,200,False,Rishikesh,Bike,Arjun Sharma
PRO0096,FLAT150DEAL,Flat,150,2024-02-27,2024-03-05,352,200,False,Nainital,Bike,Priya Admin
PRO0097,SPEED100,Flat,100,2024-03-17,2024-04-12,433,500,True,Dehradun,All,Priya Admin
PRO0098,MOUNTAIN300DEAL,Flat,300,2024-03-21,2024-04-01,344,200,False,Haridwar,Scooty,Priya Admin
PRO0099,MOUNTAIN20,Percentage,20,2024-02-25,2024-03-15,291,100,True,Mussoorie,Bike,Arjun Sharma
PRO0100,SUMMER500DEAL,Flat,500,2024-02-19,2024-03-05,452,200,False,Mussoorie,Scooty,Arjun Sharma
PRO0101,HILL5,Percentage,5,2024-03-18,2024-04-14,361,100,True,Haridwar,Car,Arjun Sharma
PRO0102,HILL250DEAL,Flat,250,2024-01-10,2024-01-15,332,200,True,Rishikesh,Bike,Priya Admin
PRO0103,HILL10,Percentage,10,2024-03-04,2024-03-26,272,1000,True,All,Bike,Priya Admin
PRO0104,MOUNTAIN150DEAL,Flat,150,2024-03-11,2024-03-28,101,1000,True,Dehradun,All,Priya Admin
PRO0105,WEEKEND10OFF,Percentage,10,2024-01-30,2024-02-02,473,200,True,Rishikesh,Scooty,Priya Admin
PRO0106,RIDE500OFF,Flat,500,2024-02-02,2024-02-07,35,100,True,Mussoorie,Bike,Priya Admin
PRO0107,CAR100NOW,Flat,100,2024-01-19,2024-02-04,101,100,True,All,All,Arjun Sharma
PRO0108,TREK30,Percentage,30,2024-03-24,2024-04-05,60,200,True,Chakrata,Car,Arjun Sharma
PRO0109,RIDE200NOW,Flat,200,2024-03-04,2024-03-09,156,1000,False,Haridwar,Car,Arjun Sharma
PRO0110,GO150OFF,Flat,150,2024-01-22,2024-01-30,108,200,False,Haridwar,Car,Priya Admin
PRO0111,BIKE30,Percentage,30,2024-03-17,2024-04-03,108,500,True,Rishikesh,Scooty,Priya Admin
PRO0112,RIDE250DEAL,Flat,250,2024-01-31,2024-02-23,90,100,False,Mussoorie,Scooty,Priya Admin
PRO0113,MOUNTAIN20OFF,Percentage,20,2024-02-06,2024-02-11,475,100,True,Dehradun,Car,Priya Admin
PRO0114,HILL250DEAL,Flat,250,2024-01-27,2024-01-30,7,100,True,Dehradun,All,Arjun Sharma
PRO0115,SUMMER250,Flat,250,2024-01-15,2024-01-26,345,500,True,All,Scooty,Arjun Sharma
PRO0116,MOUNTAIN150,Flat,150,2024-01-22,2024-02-08,95,1000,False,Rishikesh,Car,Priya Admin
PRO0117,GO20NOW,Percentage,20,2024-03-03,2024-03-19,312,1000,True,Rishikesh,Scooty,Arjun Sharma
PRO0118,TREK250OFF,Flat,250,2024-03-06,2024-03-22,2,100,False,Dehradun,Bike,Priya Admin
PRO0119,MOUNTAIN5NOW,Percentage,5,2024-02-27,2024-03-01,341,1000,True,Mussoorie,All,Priya Admin
PRO0120,GO250DEAL,Flat,250,2024-01-13,2024-02-12,61,500,False,Rishikesh,All,Priya Admin
PRO0121,BIKE10DEAL,Percentage,10,2024-03-10,2024-03-22,499,200,True,Chakrata,Bike,Arjun Sharma
PRO0122,SPEED250,Flat,250,2024-02-10,2024-03-06,157,100,False,Mussoorie,Scooty,Priya Admin
PRO0123,MOUNTAIN30,Percentage,30,2024-02-17,2024-03-10,450,200,True,Rishikesh,Scooty,Arjun Sharma
PRO0124,BIKE500,Flat,500,2024-01-06,2024-01-22,97,100,False,All,Bike,Priya Admin
PRO0125,MOUNTAIN300,Flat,300,2024-01-10,2024-01-15,70,1000,True,Chakrata,Bike,Arjun Sharma
PRO0126,FLAT300,Flat,300,2024-03-14,2024-04-12,355,200,True,Dehradun,All,Priya Admin
PRO0127,RIDE10OFF,Percentage,10,2024-01-26,2024-01-30,190,500,True,Dehradun,Car,Arjun Sharma
PRO0128,CAR30,Percentage,30,2024-01-16,2024-01-26,298,1000,False,Mussoorie,Bike,Priya Admin
PRO0129,SPEED20NOW,Percentage,20,2024-03-11,2024-03-28,482,500,False,Dehradun,All,Priya Admin
PRO0130,SPEED10NOW,Percentage,10,2024-03-16,2024-04-12,168,100,True,Haridwar,Scooty,Priya Admin
PRO0131,SPEED150OFF,Flat,150,2024-01-26,2024-01-29,419,100,True,Dehradun,Car,Arjun Sharma
PRO0132,BIKE100,Flat,100,2024-01-07,2024-01-15,40,100,True,Nainital,Car,Arjun Sharma
PRO0133,SUMMER25,Percentage,25,2024-01-16,2024-01-28,361,500,True,All,Scooty,Priya Admin
PRO0134,FLAT10,Percentage,10,2024-01-03,2024-01-26,232,500,True,Rishikesh,Car,Priya Admin
PRO0135,BIKE10OFF,Percentage,10,2024-02-26,2024-03-03,292,500,False,All,Bike,Priya Admin
PRO0136,SPEED500,Flat,500,2024-01-15,2024-02-12,345,1000,True,All,Scooty,Arjun Sharma
PRO0137,TREK500,Flat,500,2024-01-08,2024-01-27,392,500,False,Dehradun,Scooty,Arjun Sharma
PRO0138,RIDE10NOW,Percentage,10,2024-03-05,2024-03-11,7,500,True,Haridwar,All,Arjun Sharma
PRO0139,MOUNTAIN20NOW,Percentage,20,2024-02-22,2024-03-01,436,500,True,Dehradun,Car,Arjun Sharma
PRO0140,GO500DEAL,Flat,500,2024-03-09,2024-03-18,42,1000,True,Mussoorie,All,Arjun Sharma
PRO0141,SPEED150NOW,Flat,150,2024-02-05,2024-03-01,421,500,True,Mussoorie,Bike,Arjun Sharma
PRO0142,BIKE5,Percentage,5,2024-01-08,2024-01-16,481,500,True,All,Car,Arjun Sharma
PRO0143,SUMMER25,Percentage,25,2024-02-17,2024-03-07,423,100,True,Rishikesh,Bike,Arjun Sharma
PRO0144,BIKE100NOW,Flat,100,2024-02-13,2024-03-07,260,200,True,Dehradun,Car,Arjun Sharma
PRO0145,FLAT10NOW,Percentage,10,2024-03-29,2024-04-08,116,100,True,Chakrata,Scooty,Arjun Sharma
PRO0146,GO20,Percentage,20,2024-01-13,2024-01-28,92,1000,True,Haridwar,Car,Priya Admin
PRO0147,BIKE50OFF,Flat,50,2024-03-10,2024-03-15,432,500,True,Mussoorie,Scooty,Arjun Sharma
PRO0148,TREK50DEAL,Flat,50,2024-01-02,2024-01-25,242,200,False,All,All,Arjun Sharma
PRO0149,TREK5,Percentage,5,2024-01-28,2024-02-03,356,500,False,Dehradun,All,Priya Admin
PRO0150,SAVE5DEAL,Percentage,5,2024-02-05,2024-03-03,195,500,True,Haridwar,Car,Arjun Sharma
PRO0151,SAVE250,Flat,250,2024-02-22,2024-03-03,477,100,False,All,Scooty,Priya Admin
PRO0152,WEEKEND10,Percentage,10,2024-02-05,2024-02-19,132,100,True,Dehradun,All,Arjun Sharma
PRO0153,SPEED10NOW,Percentage,10,2024-01-04,2024-01-21,36,1000,True,Haridwar,All,Priya Admin
PRO0154,SPEED250DEAL,Flat,250,2024-02-04,2024-03-05,407,500,False,Dehradun,All,Priya Admin
PRO0155,GO25,Percentage,25,2024-02-09,2024-03-07,262,100,True,Mussoorie,Bike,Arjun Sharma
PRO0156,FLAT150DEAL,Flat,150,2024-02-02,2024-02-06,225,200,False,Rishikesh,Scooty,Arjun Sharma
PRO0157,RIDE10NOW,Percentage,10,2024-03-14,2024-03-30,78,100,False,Mussoorie,Scooty,Arjun Sharma
PRO0158,SUMMER250NOW,Flat,250,2024-03-27,2024-04-08,376,200,False,Dehradun,All,Arjun Sharma
PRO0159,SPEED50NOW,Flat,50,2024-03-30,2024-04-27,421,500,False,Dehradun,Scooty,Arjun Sharma
PRO0160,FLAT30,Percentage,30,2024-03-10,2024-04-07,294,200,False,Mussoorie,Car,Arjun Sharma
PRO0161,FLAT200NOW,Flat,200,2024-01-06,2024-02-02,45,200,False,Rishikesh,Car,Priya Admin
PRO0162,FLAT50NOW,Flat,50,2024-03-28,2024-04-13,199,1000,True,Rishikesh,All,Arjun Sharma
PRO0163,WEEKEND10,Percentage,10,2024-01-05,2024-01-23,267,100,False,Haridwar,Bike,Priya Admin
PRO0164,MOUNTAIN200NOW,Flat,200,2024-03-21,2024-04-11,93,500,False,Rishikesh,Car,Priya Admin
PRO0165,TREK50OFF,Flat,50,2024-02-14,2024-02-17,96,500,False,Mussoorie,Car,Arjun Sharma
PRO0166,CAR50,Flat,50,2024-03-05,2024-03-21,379,200,False,Chakrata,Bike,Priya Admin
PRO0167,CAR10NOW,Percentage,10,2024-03-16,2024-04-07,276,500,True,Chakrata,All,Arjun Sharma
PRO0168,BIKE30,Percentage,30,2024-01-31,2024-02-10,289,200,True,Dehradun,All,Arjun Sharma
PRO0169,GO20DEAL,Percentage,20,2024-02-23,2024-03-08,426,500,False,Dehradun,Car,Arjun Sharma
PRO0170,WEEKEND200OFF,Flat,200,2024-02-12,2024-03-09,427,500,True,Mussoorie,All,Priya Admin
PRO0171,TREK10,Percentage,10,2024-03-28,2024-04-14,288,100,True,Dehradun,All,Arjun Sharma
PRO0172,GO25,Percentage,25,2024-02-23,2024-03-05,96,1000,True,Mussoorie,Scooty,Arjun Sharma
PRO0173,HILL300NOW,Flat,300,2024-01-25,2024-02-09,453,100,True,Nainital,Car,Arjun Sharma
PRO0174,TREK300DEAL,Flat,300,2024-03-28,2024-04-18,477,200,False,Haridwar,Car,Priya Admin
PRO0175,SUMMER250DEAL,Flat,250,2024-03-10,2024-04-05,49,200,True,Chakrata,Scooty,Priya Admin
PRO0176,GO15NOW,Percentage,15,2024-01-05,2024-02-02,172,500,True,Rishikesh,Car,Priya Admin
PRO0177,CAR25NOW,Percentage,25,2024-03-09,2024-03-29,226,500,False,Nainital,All,Arjun Sharma
PRO0178,RIDE25,Percentage,25,2024-01-15,2024-02-05,236,100,True,Rishikesh,All,Priya Admin
PRO0179,SAVE5,Percentage,5,2024-01-13,2024-01-23,417,500,False,Dehradun,Bike,Arjun Sharma
PRO0180,MOUNTAIN50DEAL,Flat,50,2024-02-07,2024-02-22,243,500,True,Nainital,Car,Priya Admin
PRO0181,MOUNTAIN10NOW,Percentage,10,2024-02-22,2024-03-17,468,200,True,Mussoorie,All,Arjun Sharma
PRO0182,SPEED150,Flat,150,2024-02-07,2024-02-19,145,200,False,Dehradun,All,Arjun Sharma
PRO0183,GO150NOW,Flat,150,2024-03-17,2024-04-01,52,1000,True,Nainital,Bike,Arjun Sharma
PRO0184,BIKE250,Flat,250,2024-01-01,2024-01-22,355,500,True,All,Car,Priya Admin
PRO0185,WEEKEND200,Flat,200,2024-01-09,2024-01-26,294,500,True,Nainital,Bike,Priya Admin
PRO0186,HILL300NOW,Flat,300,2024-01-21,2024-02-03,68,100,True,All,All,Arjun Sharma
PRO0187,BIKE15DEAL,Percentage,15,2024-02-28,2024-03-26,191,100,True,Dehradun,Car,Priya Admin
PRO0188,SPEED50OFF,Flat,50,2024-02-14,2024-03-01,21,500,False,All,Scooty,Priya Admin
PRO0189,MOUNTAIN100,Flat,100,2024-01-24,2024-01-27,230,500,True,Dehradun,Bike,Arjun Sharma
PRO0190,SUMMER100OFF,Flat,100,2024-02-28,2024-03-02,328,1000,False,Haridwar,All,Priya Admin
PRO0191,RIDE5OFF,Percentage,5,2024-03-26,2024-04-24,456,500,True,Mussoorie,Bike,Arjun Sharma
PRO0192,HILL200NOW,Flat,200,2024-02-16,2024-03-03,313,500,False,Rishikesh,Car,Arjun Sharma
PRO0193,SAVE15,Percentage,15,2024-01-15,2024-02-11,144,200,True,All,All,Priya Admin
PRO0194,CAR150DEAL,Flat,150,2024-03-01,2024-03-31,223,500,True,Haridwar,Scooty,Priya Admin
PRO0195,SUMMER500,Flat,500,2024-02-08,2024-02-22,91,500,True,Mussoorie,Car,Priya Admin
PRO0196,GO30DEAL,Percentage,30,2024-03-19,2024-04-12,46,1000,True,Dehradun,Scooty,Arjun Sharma
PRO0197,HILL50NOW,Flat,50,2024-01-12,2024-02-01,271,1000,True,All,All,Priya Admin
PRO0198,HILL250NOW,Flat,250,2024-03-02,2024-03-26,153,1000,False,Auli,Scooty,Arjun Sharma
PRO0199,GO10NOW,Percentage,10,2024-01-09,2024-01-28,436,200,True,All,Scooty,Arjun Sharma
PRO0200,GO300NOW,Flat,300,2024-03-10,2024-03-29,224,500,False,Dehradun,All,Priya Admin
PRO0201,GO30DEAL,Percentage,30,2024-02-11,2024-02-29,206,200,True,Dehradun,Bike,Priya Admin
PRO0202,TREK150NOW,Flat,150,2024-01-12,2024-02-01,439,500,False,Rishikesh,All,Arjun Sharma
PRO0203,RIDE15,Percentage,15,2024-01-10,2024-02-03,64,500,True,All,All,Priya Admin
PRO0204,SAVE150NOW,Flat,150,2024-01-14,2024-02-06,429,1000,False,Auli,All,Priya Admin
PRO0205,RIDE30,Percentage,30,2024-02-14,2024-03-06,212,1000,True,All,Car,Priya Admin
PRO0206,SUMMER10OFF,Percentage,10,2024-02-19,2024-03-02,134,1000,False,Rishikesh,Bike,Priya Admin
PRO0207,RIDE250DEAL,Flat,250,2024-02-27,2024-03-26,58,1000,True,Dehradun,Bike,Arjun Sharma
PRO0208,RIDE300,Flat,300,2024-01-16,2024-01-21,256,100,True,Dehradun,Car,Arjun Sharma
PRO0209,HILL30DEAL,Percentage,30,2024-03-09,2024-03-20,417,500,True,Haridwar,Bike,Priya Admin
PRO0210,RIDE10,Percentage,10,2024-03-12,2024-03-20,34,200,True,Haridwar,All,Arjun Sharma
PRO0211,TREK200DEAL,Flat,200,2024-03-15,2024-04-12,319,500,True,Mussoorie,All,Priya Admin
PRO0212,HILL250OFF,Flat,250,2024-03-07,2024-04-05,70,500,False,Rishikesh,Car,Priya Admin
PRO0213,SUMMER200OFF,Flat,200,2024-01-19,2024-02-06,238,100,True,Rishikesh,Car,Priya Admin
PRO0214,BIKE150,Flat,150,2024-03-13,2024-04-02,308,100,True,All,All,Priya Admin
PRO0215,SPEED250OFF,Flat,250,2024-01-26,2024-01-30,472,1000,True,Nainital,Car,Priya Admin
PRO0216,SAVE15NOW,Percentage,15,2024-02-04,2024-03-02,464,200,True,Nainital,Car,Arjun Sharma
PRO0217,SAVE25,Percentage,25,2024-01-23,2024-02-09,125,500,False,Mussoorie,All,Arjun Sharma
PRO0218,SUMMER10DEAL,Percentage,10,2024-01-05,2024-01-13,335,100,False,Haridwar,Car,Arjun Sharma
PRO0219,WEEKEND20DEAL,Percentage,20,2024-03-06,2024-03-17,148,100,False,Haridwar,Bike,Arjun Sharma
PRO0220,GO50NOW,Flat,50,2024-01-01,2024-01-28,255,1000,True,Haridwar,All,Arjun Sharma
PRO0221,HILL10OFF,Percentage,10,2024-02-25,2024-02-28,146,1000,True,Rishikesh,Bike,Priya Admin
PRO0222,SPEED150DEAL,Flat,150,2024-03-09,2024-03-21,325,200,True,Dehradun,Bike,Arjun Sharma
PRO0223,FLAT10DEAL,Percentage,10,2024-03-10,2024-04-03,124,1000,False,All,Scooty,Arjun Sharma
PRO0224,FLAT30,Percentage,30,2024-02-15,2024-03-06,89,100,True,All,Car,Priya Admin
PRO0225,SAVE250OFF,Flat,250,2024-01-20,2024-01-27,47,200,False,All,Bike,Priya Admin
PRO0226,GO250OFF,Flat,250,2024-03-05,2024-03-27,376,500,True,Dehradun,Scooty,Arjun Sharma
PRO0227,FLAT50NOW,Flat,50,2024-01-17,2024-02-13,10,1000,True,Dehradun,Scooty,Arjun Sharma
PRO0228,FLAT150DEAL,Flat,150,2024-04-01,2024-04-30,376,1000,True,Mussoorie,Scooty,Arjun Sharma
PRO0229,TREK10NOW,Percentage,10,2024-01-15,2024-01-29,409,500,False,Dehradun,All,Arjun Sharma
PRO0230,SAVE100DEAL,Flat,100,2024-02-19,2024-03-18,307,1000,False,Mussoorie,Car,Priya Admin
PRO0231,TREK150,Flat,150,2024-03-06,2024-03-15,413,100,False,Dehradun,Car,Priya Admin
PRO0232,CAR100OFF,Flat,100,2024-02-18,2024-02-27,355,1000,True,All,Scooty,Arjun Sharma
PRO0233,SUMMER20,Percentage,20,2024-02-09,2024-02-17,88,200,True,Rishikesh,Bike,Arjun Sharma
PRO0234,TREK100DEAL,Flat,100,2024-02-25,2024-03-12,291,1000,True,Haridwar,Car,Arjun Sharma
PRO0235,CAR25DEAL,Percentage,25,2024-02-21,2024-03-16,112,200,True,Dehradun,Car,Arjun Sharma
PRO0236,SUMMER5,Percentage,5,2024-01-10,2024-02-09,241,100,False,All,All,Arjun Sharma
PRO0237,RIDE10OFF,Percentage,10,2024-01-08,2024-01-22,383,200,True,Mussoorie,Car,Priya Admin
PRO0238,WEEKEND25DEAL,Percentage,25,2024-03-14,2024-04-02,217,1000,True,Rishikesh,All,Arjun Sharma
PRO0239,SAVE200NOW,Flat,200,2024-03-09,2024-03-17,422,500,False,Haridwar,All,Arjun Sharma
