id,booking,userId,user,vehicleId,city,type,amount,tax,platformFee,net,date,status,fraud,paymentMode,vehicleName,userName
TXN0015,BK0015,U170,Aman,193,Dehradun,Bike,383,69,57,257,2024-04-02,refunded,False,Net Banking,Hero Splendor Plus,Aman
TXN0016,BK0016,U073,Aman,245,Dehradun,Scooty,3864,696,580,2588,2024-02-15,received,False,Net Banking,Honda Activa,Aman
TXN0017,BK0017,U206,Priya,367,Haridwar,Bike,1236,222,185,829,2024-02-28,received,False,UPI,Yamaha R15,Priya
TXN0018,BK0018,U431,Neha,692,Auli,Scooty,2540,457,381,1702,2024-01-24,refunded,False,Net Banking,TVS Ntorq,Neha
TXN0019,BK0019,U027,Priya,537,Rishikesh,Car,4458,802,669,2987,2024-03-04,received,False,Card,i10,Priya
TXN0020,BK0020,U179,Rohit,300,Rishikesh,Car,3513,632,527,2354,2024-01-11,received,False,Cash,Maruti Alto,Rohit
TXN0021,BK0021,U021,Pooja,818,Mussoorie,Scooty,3195,575,479,2141,2024-03-21,received,False,Net Banking,Ola S1,Pooja
TXN0022,BK0022,U049,Arjun,81,Dehradun,Car,4508,811,676,3021,2024-03-26,received,False,Net Banking,Maruti Alto,Arjun
TXN0023,BK0023,U161,Karan,774,Mussoorie,Car,10296,1853,1544,6899,2024-01-29,refunded,False,UPI,Baleno,Karan
TXN0024,BK0024,U473,Pooja,784,Rishikesh,Bike,2912,524,437,1951,2024-01-18,pending,False,Card,RE Classic 350,Pooja
TXN0025,BK0025,U213,Aditi,467,Rishikesh,Scooty,1338,241,201,896,2024-02-01,pending,False,Cash,TVS Ntorq,Aditi
TXN0026,BK0026,U432,Priya,144,Rishikesh,Car,10423,1876,1563,6984,2024-01-12,received,False,Card,i10,Priya
TXN0027,BK0027,U192,Rohit,987,Dehradun,Car,6952,1251,1043,4658,2024-04-02,received,False,UPI,i20,Rohit
TXN0028,BK0028,U390,Aman,436,Mussoorie,Bike,1995,359,299,1337,2024-01-13,received,False,UPI,Bajaj Avenger 220,Aman
TXN0029,BK0029,U264,Sneha,264,Haridwar,Car,5255,946,788,3521,2024-01-16,pending,False,UPI,Maruti Alto,Sneha
TXN0030,BK0030,U201,Priya,164,Haridwar,Scooty,725,130,109,486,2024-03-16,received,False,Net Banking,Ather 450X,Priya
TXN0031,BK0031,U293,Neha,240,Mussoorie,Car,1793,323,269,1201,2024-03-18,pending,False,Cash,i20,Neha
TXN0032,BK0032,U473,Pooja,634,Mussoorie,Bike,3875,698,581,2596,2024-02-13,received,False,Cash,KTM Duke 200,Pooja
TXN0033,BK0033,U482,Karan,61,Rishikesh,Bike,2091,376,314,1401,2024-02-12,received,False,Card,RE Classic 350,Karan
TXN0034,BK0034,U421,Karan,605,Dehradun,Scooty,3580,644,537,2399,2024-01-19,received,False,Net Banking,Ather 450X,Karan
TXN0035,BK0035,U226,Neha,234,Haridwar,Car,9474,1705,1421,6348,2024-01-13,received,False,Cash,Baleno,Neha
TXN0036,BK0036,U144,Rohit,801,Rishikesh,Car,2482,447,372,1663,2024-03-08,pending,False,Card,WagonR,Rohit
TXN0037,BK0037,U158,Rohit,515,Rishikesh,Scooty,1704,307,256,1141,2024-01-12,pending,False,Cash,Yamaha Fascino,Rohit
TXN0038,BK0038,U030,Sneha,149,Dehradun,Scooty,1983,357,297,1329,2024-03-18,received,False,UPI,TVS Ntorq,Sneha
TXN0039,BK0039,U024,Rahul,880,Dehradun,Bike,3636,654,545,2437,2024-01-19,pending,False,Card,Yamaha FZ,Rahul
TXN0040,BK0040,U055,Priya,253,Rishikesh,Bike,2046,368,307,1371,2024-01-17,pending,False,UPI,Yamaha R15,Priya
TXN0041,BK0041,U227,Sneha,388,Dehradun,Bike,2332,420,350,1562,2024-01-24,received,False,Cash,TVS Apache RTR 160,Sneha
TXN0042,BK0042,U368,Karan,340,Dehradun,Bike,2118,381,318,1419,2024-03-16,received,False,UPI,RE Classic 350,Karan
TXN0043,BK0043,U100,Rahul,917,Auli,Scooty,628,113,94,421,2024-03-07,refunded,False,Net Banking,Ola S1,Rahul
TXN0044,BK0044,U128,Rohit,447,Dehradun,Car,9210,1658,1382,6170,2024-02-17,received,False,Net Banking,Baleno,Rohit
TXN0045,BK0045,U454,Sneha,40,Rishikesh,Bike,4320,778,648,2894,2024-03-24,received,False,Cash,Yamaha R15,Sneha
TXN0046,BK0046,U248,Karan,496,Nainital,Bike,585,105,88,392,2024-03-27,pending,False,Net Banking,Yamaha FZ,Karan
TXN0047,BK0047,U209,Karan,151,Nainital,Bike,2058,370,309,1379,2024-03-15,received,False,Card,Hero Splendor Plus,Karan
TXN0048,BK0048,U310,Aman,130,Mussoorie,Bike,1992,359,299,1334,2024-02-13,received,False,UPI,TVS Apache RTR 160,Aman
TXN0049,BK0049,U439,Aman,166,Dehradun,Bike,3620,652,543,2425,2024-01-15,pending,False,Net Banking,RE Classic 350,Aman
TXN0050,BK0050,U043,Rohit,762,Dehradun,Car,2574,463,386,1725,2024-04-03,received,False,Card,Creta,Rohit
TXN0051,BK0051,U080,Arjun,161,Dehradun,Scooty,627,113,94,420,2024-03-16,received,False,UPI,Ola S1,Arjun
TXN0052,BK0052,U461,Rohit,78,Rishikesh,Car,15316,2757,2297,10262,2024-02-11,pending,False,Cash,Sonet,Rohit
TXN0053,BK0053,U223,Pooja,797,Rishikesh,Scooty,2324,418,349,1557,2024-01-15,received,True,Net Banking,Honda Activa,Pooja
TXN0054,BK0054,U290,Sneha,527,Dehradun,Scooty,3426,617,514,2295,2024-02-27,pending,False,UPI,TVS Jupiter,Sneha
TXN0055,BK0055,U150,Aman,355,Chakrata,Bike,4137,745,621,2771,2024-03-17,refunded,False,UPI,Yamaha FZ,Aman
TXN0056,BK0056,U192,Rohit,885,Mussoorie,Car,2800,504,420,1876,2024-01-08,received,False,Card,WagonR,Rohit
TXN0057,BK0057,U006,Aditi,829,Dehradun,Bike,1450,261,218,971,2024-01-01,received,False,Cash,RE Classic 350,Aditi
TXN0058,BK0058,U381,Priya,827,Mussoorie,Scooty,2780,500,417,1863,2024-02-01,pending,False,Cash,Honda Activa,Priya
TXN0059,BK0059,U455,Priya,219,Dehradun,Car,12300,2214,1845,8241,2024-02-09,received,False,Card,Nexon,Priya
TXN0060,BK0060,U088,Aman,609,Dehradun,Car,6432,1158,965,4309,2024-03-05,pending,False,Cash,Nexon,Aman
TXN0061,BK0061,U025,Rohit,244,Dehradun,Bike,2760,497,414,1849,2024-01-07,received,False,Net Banking,TVS Apache RTR 160,Rohit
TXN0062,BK0062,U369,Karan,808,Mussoorie,Bike,1280,230,192,858,2024-02-04,pending,False,Cash,Bajaj Avenger 220,Karan
TXN0063,BK0063,U348,Karan,357,Dehradun,Car,4998,900,750,3348,2024-03-21,received,False,Card,i10,Karan
TXN0064,BK0064,U123,Arjun,808,Mussoorie,Bike,2560,461,384,1715,2024-03-10,pending,False,Card,Bajaj Avenger 220,Arjun
TXN0065,BK0065,U455,Priya,250,Rishikesh,Bike,3094,557,464,2073,2024-03-11,refunded,False,UPI,Bajaj Pulsar 150,Priya
TXN0066,BK0066,U037,Rohit,50,Mussoorie,Scooty,4893,881,734,3278,2024-02-10,received,False,UPI,Ather 450X,Rohit
TXN0067,BK0067,U193,Neha,62,Mussoorie,Scooty,638,115,96,427,2024-03-10,received,False,UPI,TVS Jupiter,Neha
TXN0068,BK0068,U051,Sneha,241,Rishikesh,Bike,3610,650,542,2418,2024-03-25,pending,False,Cash,RE Classic 350,Sneha
TXN0069,BK0069,U089,Arjun,33,Nainital,Car,12012,2162,1802,8048,2024-03-11,refunded,False,Cash,Baleno,Arjun
TXN0070,BK0070,U452,Priya,771,Rishikesh,Car,8334,1500,1250,5584,2024-02-19,pending,False,Cash,Swift,Priya
TXN0071,BK0071,U327,Aditi,421,Dehradun,Bike,1418,255,213,950,2024-02-23,received,False,UPI,RE Classic 350,Aditi
TXN0072,BK0072,U347,Sneha,684,Rishikesh,Car,7878,1418,1182,5278,2024-01-12,pending,False,Cash,Maruti Alto,Sneha
TXN0073,BK0073,U126,Neha,756,Rishikesh,Car,8104,1459,1216,5429,2024-03-17,received,False,UPI,Sonet,Neha
TXN0074,BK0074,U304,Arjun,724,Rishikesh,Bike,2067,372,310,1385,2024-03-23,received,False,UPI,KTM Duke 200,Arjun
TXN0075,BK0075,U024,Rahul,44,Mussoorie,Scooty,626,113,94,419,2024-02-15,received,False,Net Banking,Ola S1,Rahul
TXN0076,BK0076,U368,Karan,103,Haridwar,Bike,4284,771,643,2870,2024-01-07,pending,False,Card,RE Classic 350,Karan
TXN0077,BK0077,U059,Pooja,445,Mussoorie,Bike,1326,239,199,888,2024-02-04,pending,False,Cash,Bajaj Avenger 220,Pooja
TXN0078,BK0078,U407,Rohit,670,Dehradun,Bike,2226,401,334,1491,2024-03-09,pending,False,UPI,Bajaj Pulsar 150,Rohit
TXN0079,BK0079,U111,Karan,470,Dehradun,Scooty,650,117,98,435,2024-03-08,received,False,UPI,Suzuki Access,Karan
TXN0080,BK0080,U452,Priya,800,Dehradun,Scooty,3380,608,507,2265,2024-01-11,received,False,UPI,TVS Ntorq,Priya
TXN0081,BK0081,U156,Sneha,371,Auli,Scooty,1842,332,276,1234,2024-02-16,pending,False,Card,TVS Jupiter,Sneha
TXN0082,BK0082,U316,Priya,405,Haridwar,Car,4845,872,727,3246,2024-02-13,received,False,Cash,Baleno,Priya
TXN0083,BK0083,U096,Aman,465,Haridwar,Car,6668,1200,1000,4468,2024-03-04,received,False,Cash,Baleno,Aman
TXN0084,BK0084,U376,Karan,701,Dehradun,Scooty,4186,753,628,2805,2024-01-15,refunded,False,UPI,Suzuki Access,Karan
TXN0085,BK0085,U257,Neha,426,Haridwar,Car,10850,1953,1628,7269,2024-01-19,pending,False,Net Banking,Swift,Neha
TXN0086,BK0086,U206,Priya,110,Dehradun,Scooty,1296,233,194,869,2024-04-04,pending,False,Cash,Ola S1,Priya
TXN0087,BK0087,U473,Pooja,795,Rishikesh,Car,6172,1111,926,4135,2024-03-10,received,False,Cash,Swift,Pooja
TXN0088,BK0088,U187,Pooja,507,Dehradun,Car,4002,720,600,2682,2024-02-28,received,False,Net Banking,Sonet,Pooja
TXN0089,BK0089,U437,Rahul,538,Lansdowne,Bike,2288,412,343,1533,2024-04-05,received,False,UPI,Bajaj Avenger 220,Rahul
TXN0090,BK0090,U085,Priya,747,Mussoorie,Car,3598,648,540,2410,2024-01-28,refunded,False,Net Banking,Baleno,Priya
TXN0091,BK0091,U390,Aman,979,Dehradun,Bike,1908,343,286,1279,2024-03-26,received,False,Cash,RE Classic 350,Aman
TXN0092,BK0092,U153,Arjun,807,Mussoorie,Car,10832,1950,1625,7257,2024-02-18,received,False,Card,Creta,Arjun
TXN0093,BK0093,U373,Aditi,224,Nainital,Scooty,620,112,93,415,2024-02-07,refunded,False,Card,Honda Activa,Aditi
TXN0094,BK0094,U214,Priya,798,Rishikesh,Car,2606,469,391,1746,2024-03-28,received,False,UPI,Creta,Priya
TXN0095,BK0095,U053,Aman,384,Chakrata,Car,3226,581,484,2161,2024-02-07,pending,False,UPI,Baleno,Aman
TXN0096,BK0096,U273,Sneha,755,Haridwar,Scooty,2788,502,418,1868,2024-01-27,pending,False,Card,Ola S1,Sneha
TXN0097,BK0097,U431,Neha,257,Dehradun,Scooty,2484,447,373,1664,2024-02-10,received,False,UPI,Suzuki Access,Neha
TXN0098,BK0098,U199,Rohit,608,Mussoorie,Scooty,3210,578,482,2150,2024-03-02,received,False,Cash,Honda Activa,Rohit
TXN0099,BK0099,U287,Karan,799,Mussoorie,Bike,1298,234,195,869,2024-01-01,received,False,Net Banking,Yamaha R15,Karan
TXN0100,BK0100,U250,Priya,700,Dehradun,Bike,2590,466,388,1736,2024-03-23,received,False,Card,TVS Apache RTR 160,Priya
TXN0101,BK0101,U354,Pooja,864,Mussoorie,Car,2059,371,309,1379,2024-04-07,received,False,Net Banking,Sonet,Pooja
TXN0102,BK0102,U383,Neha,975,Rishikesh,Car,3172,571,476,2125,2024-03-31,pending,False,Net Banking,i10,Neha
TXN0103,BK0103,U086,Neha,495,Mussoorie,Car,2484,447,373,1664,2024-02-19,received,False,UPI,City,Neha
TXN0104,BK0104,U033,Arjun,45,Dehradun,Car,7755,1396,1163,5196,2024-01-07,received,True,UPI,City,Arjun
TXN0105,BK0105,U075,Aman,593,Haridwar,Scooty,620,112,93,415,2024-01-11,pending,False,Net Banking,Honda Activa,Aman
TXN0106,BK0106,U263,Pooja,161,Dehradun,Scooty,1881,339,282,1260,2024-03-02,received,False,Net Banking,Ola S1,Pooja
TXN0107,BK0107,U045,Aditi,550,Rishikesh,Bike,354,64,53,237,2024-02-27,received,False,Net Banking,Hero Splendor Plus,Aditi
TXN0108,BK0108,U334,Aman,55,Haridwar,Bike,4368,786,655,2927,2024-03-02,received,False,Cash,RE Classic 350,Aman
TXN0109,BK0109,U314,Arjun,747,Mussoorie,Car,12593,2267,1889,8437,2024-04-03,received,False,UPI,Baleno,Arjun
TXN0110,BK0110,U245,Sneha,916,Haridwar,Bike,1833,330,275,1228,2024-03-15,received,False,UPI,Yamaha R15,Sneha
TXN0111,BK0111,U162,Pooja,166,Dehradun,Bike,5068,912,760,3396,2024-01-18,received,False,Card,RE Classic 350,Pooja
TXN0112,BK0112,U143,Neha,560,Nainital,Scooty,4641,835,696,3110,2024-02-22,received,False,UPI,TVS Ntorq,Neha
TXN0113,BK0113,U265,Aman,756,Rishikesh,Car,2026,365,304,1357,2024-03-11,pending,False,Net Banking,Sonet,Aman
TXN0114,BK0114,U482,Karan,913,Mussoorie,Bike,529,95,79,355,2024-02-25,received,False,Net Banking,Bajaj Pulsar 150,Karan
TXN0115,BK0115,U411,Arjun,702,Dehradun,Car,16884,3039,2533,11312,2024-03-31,received,False,Net Banking,City,Arjun
TXN0116,BK0116,U049,Arjun,418,Mussoorie,Bike,1410,254,212,944,2024-01-13,received,False,Net Banking,KTM Duke 200,Arjun
TXN0117,BK0117,U427,Pooja,361,Mussoorie,Bike,2680,482,402,1796,2024-01-23,received,False,UPI,RE Classic 350,Pooja
TXN0118,BK0118,U053,Aman,429,Dehradun,Car,8700,1566,1305,5829,2024-02-09,received,False,UPI,i10,Aman
TXN0119,BK0119,U468,Rahul,575,Dehradun,Scooty,2880,518,432,1930,2024-01-10,received,True,Card,Suzuki Access,Rahul
TXN0120,BK0120,U270,Rohit,874,Dehradun,Bike,3732,672,560,2500,2024-03-31,pending,False,Cash,Yamaha FZ,Rohit
TXN0121,BK0121,U028,Aditi,402,Mussoorie,Car,13975,2516,2096,9363,2024-01-22,refunded,False,UPI,Creta,Aditi
TXN0122,BK0122,U330,Rohit,844,Mussoorie,Bike,733,132,110,491,2024-03-04,received,False,Card,KTM Duke 200,Rohit
TXN0123,BK0123,U179,Rohit,194,Haridwar,Scooty,4417,795,663,2959,2024-03-28,received,False,Card,Ola S1,Rohit
TXN0124,BK0124,U114,Aman,822,Haridwar,Car,14496,2609,2174,9713,2024-01-25,pending,False,UPI,City,Aman
TXN0125,BK0125,U040,Rohit,482,Nainital,Scooty,3325,598,499,2228,2024-03-08,received,False,UPI,Ather 450X,Rohit
TXN0126,BK0126,U387,Aditi,869,Haridwar,Scooty,625,112,94,419,2024-02-09,refunded,False,Card,Ola S1,Aditi
TXN0127,BK0127,U125,Sneha,488,Rishikesh,Scooty,3882,699,582,2601,2024-01-21,pending,False,Cash,Honda Activa,Sneha
TXN0128,BK0128,U191,Rohit,529,Haridwar,Bike,4900,882,735,3283,2024-02-12,received,False,Card,Yamaha R15,Rohit
TXN0129,BK0129,U463,Sneha,991,Dehradun,Bike,3157,568,474,2115,2024-01-31,received,False,Card,Bajaj Pulsar 150,Sneha
TXN0130,BK0130,U281,Sneha,777,Rishikesh,Car,15372,2767,2306,10299,2024-01-16,received,False,UPI,Sonet,Sneha
TXN0131,BK0131,U376,Karan,224,Nainital,Scooty,3100,558,465,2077,2024-03-21,received,False,Net Banking,Honda Activa,Karan
TXN0132,BK0132,U398,Rohit,985,Dehradun,Bike,2289,412,343,1534,2024-01-14,pending,False,Cash,KTM Duke 200,Rohit
TXN0133,BK0133,U427,Pooja,615,Dehradun,Car,9624,1732,1444,6448,2024-04-04,received,False,Card,Baleno,Pooja
TXN0134,BK0134,U323,Aditi,757,Rishikesh,Bike,2835,510,425,1900,2024-02-02,received,False,UPI,Hero Splendor Plus,Aditi
TXN0135,BK0135,U464,Aditi,958,Rishikesh,Bike,413,74,62,277,2024-03-31,received,False,UPI,Bajaj Pulsar 150,Aditi
TXN0136,BK0136,U416,Sneha,39,Lansdowne,Car,1341,241,201,899,2024-03-30,pending,False,Cash,Maruti Alto,Sneha
TXN0137,BK0137,U307,Aditi,268,Dehradun,Bike,1644,296,247,1101,2024-02-03,received,False,Card,Yamaha FZ,Aditi
TXN0138,BK0138,U163,Arjun,240,Mussoorie,Car,1793,323,269,1201,2024-02-10,received,False,Card,i20,Arjun
TXN0139,BK0139,U309,Priya,249,Dehradun,Car,1918,345,288,1285,2024-04-08,pending,False,UPI,i20,Priya
TXN0140,BK0140,U339,Rahul,755,Haridwar,Scooty,2091,376,314,1401,2024-03-20,received,False,Net Banking,Ola S1,Rahul
TXN0141,BK0141,U357,Neha,678,Haridwar,Car,5331,960,800,3571,2024-02-16,received,False,Net Banking,i20,Neha
TXN0142,BK0142,U323,Aditi,285,Haridwar,Car,12888,2320,1933,8635,2024-01-05,pending,False,Net Banking,Sonet,Aditi
TXN0143,BK0143,U310,Aman,888,Haridwar,Car,3372,607,506,2259,2024-03-30,received,False,Net Banking,Baleno,Aman
TXN0144,BK0144,U398,Rohit,914,Rishikesh,Scooty,1272,229,191,852,2024-02-12,received,True,Net Banking,Ola S1,Rohit
TXN0145,BK0145,U215,Aman,411,Nainital,Car,12565,2262,1885,8418,2024-01-09,received,False,Net Banking,City,Aman
TXN0146,BK0146,U494,Arjun,637,Rishikesh,Bike,1984,357,298,1329,2024-01-25,pending,False,UPI,Bajaj Pulsar 150,Arjun
TXN0147,BK0147,U355,Aman,140,Nainital,Scooty,644,116,97,431,2024-03-02,received,False,Net Banking,Honda Activa,Aman
TXN0148,BK0148,U500,Aditi,12,Rishikesh,Car,6510,1172,976,4362,2024-01-24,received,False,Cash,Maruti Alto,Aditi
TXN0149,BK0149,U331,Karan,175,Haridwar,Bike,2658,478,399,1781,2024-02-04,received,True,Card,TVS Apache RTR 160,Karan
TXN0150,BK0150,U451,Neha,811,Rishikesh,Bike,3164,570,475,2119,2024-04-02,received,False,UPI,Bajaj Pulsar 150,Neha
TXN0151,BK0151,U211,Rahul,690,Dehradun,Car,4172,751,626,2795,2024-01-24,received,False,Net Banking,Nexon,Rahul
TXN0152,BK0152,U158,Rohit,924,Dehradun,Car,1321,238,198,885,2024-01-13,pending,False,Net Banking,Maruti Alto,Rohit
TXN0153,BK0153,U159,Arjun,298,Rishikesh,Bike,2220,400,333,1487,2024-01-22,received,False,Cash,Yamaha R15,Arjun
TXN0154,BK0154,U447,Neha,874,Dehradun,Bike,1866,336,280,1250,2024-01-20,received,False,Card,Yamaha FZ,Neha
TXN0155,BK0155,U081,Neha,710,Rishikesh,Scooty,1590,286,238,1066,2024-02-01,received,False,Cash,Yamaha Fascino,Neha
TXN0156,BK0156,U225,Aditi,422,Dehradun,Scooty,2247,404,337,1506,2024-03-30,received,False,Card,Ather 450X,Aditi
TXN0157,BK0157,U219,Pooja,674,Dehradun,Scooty,690,124,104,462,2024-02-13,pending,False,Net Banking,TVS Ntorq,Pooja
TXN0158,BK0158,U314,Arjun,822,Haridwar,Car,12080,2174,1812,8094,2024-02-06,received,False,UPI,City,Arjun
TXN0159,BK0159,U099,Aman,636,Mussoorie,Car,9675,1742,1451,6482,2024-03-20,refunded,False,Net Banking,i20,Aman
TXN0160,BK0160,U240,Aditi,40,Rishikesh,Bike,2160,389,324,1447,2024-02-09,pending,False,Card,Yamaha R15,Aditi
TXN0161,BK0161,U048,Pooja,701,Dehradun,Scooty,3588,646,538,2404,2024-03-20,received,False,Card,Suzuki Access,Pooja
TXN0162,BK0162,U198,Neha,881,Rishikesh,Scooty,610,110,92,408,2024-03-26,refunded,False,Net Banking,TVS Ntorq,Neha
TXN0163,BK0163,U103,Karan,326,Rishikesh,Scooty,2736,492,410,1834,2024-02-10,received,False,Card,Ola S1,Karan
TXN0164,BK0164,U304,Arjun,180,Mussoorie,Car,2317,417,348,1552,2024-03-22,received,False,Card,Nexon,Arjun
TXN0165,BK0165,U365,Sneha,391,Rishikesh,Bike,2716,489,407,1820,2024-03-15,pending,False,UPI,KTM Duke 200,Sneha
TXN0166,BK0166,U308,Neha,178,Chakrata,Bike,3759,677,564,2518,2024-01-22,pending,False,UPI,Yamaha FZ,Neha
TXN0167,BK0167,U276,Sneha,393,Dehradun,Car,2171,391,326,1454,2024-03-13,received,False,Card,Sonet,Sneha
TXN0168,BK0168,U321,Priya,843,Mussoorie,Car,11725,2110,1759,7856,2024-01-25,pending,False,Cash,Nexon,Priya
TXN0169,BK0169,U407,Rohit,237,Mussoorie,Car,9723,1750,1458,6515,2024-02-09,received,False,UPI,Swift,Rohit
TXN0170,BK0170,U151,Rahul,3,Rishikesh,Car,7260,1307,1089,4864,2024-02-24,received,False,UPI,Baleno,Rahul
TXN0171,BK0171,U097,Rohit,277,Rishikesh,Bike,2384,429,358,1597,2024-01-25,received,False,Card,RE Classic 350,Rohit
TXN0172,BK0172,U265,Aman,552,Haridwar,Car,7795,1403,1169,5223,2024-01-30,received,False,Cash,Swift,Aman
TXN0173,BK0173,U190,Rohit,105,Rishikesh,Car,10542,1898,1581,7063,2024-03-08,received,False,Card,i20,Rohit
TXN0174,BK0174,U375,Pooja,39,Lansdowne,Car,6705,1207,1006,4492,2024-02-25,refunded,False,Card,Maruti Alto,Pooja
TXN0175,BK0175,U148,Aman,180,Mussoorie,Car,6951,1251,1043,4657,2024-02-01,received,False,Net Banking,Nexon,Aman
TXN0176,BK0176,U484,Priya,636,Mussoorie,Car,3870,697,580,2593,2024-03-11,received,False,Cash,i20,Priya
TXN0177,BK0177,U138,Sneha,210,Haridwar,Car,8109,1460,1216,5433,2024-01-03,received,False,Cash,Creta,Sneha
TXN0178,BK0178,U499,Priya,778,Dehradun,Bike,3451,621,518,2312,2024-03-12,received,False,Card,Bajaj Pulsar 150,Priya
TXN0179,BK0179,U414,Karan,637,Rishikesh,Bike,1488,268,223,997,2024-03-18,received,False,Cash,Bajaj Pulsar 150,Karan
TXN0180,BK0180,U432,Priya,647,Rishikesh,Scooty,4312,776,647,2889,2024-01-02,received,False,Card,Ola S1,Priya
TXN0181,BK0181,U146,Aditi,335,Auli,Scooty,1444,260,217,967,2024-02-11,pending,False,Cash,Ather 450X,Aditi
TXN0182,BK0182,U208,Rahul,337,Mussoorie,Bike,578,104,87,387,2024-02-03,pending,False,Net Banking,Yamaha FZ,Rahul
TXN0183,BK0183,U104,Arjun,5,Lansdowne,Scooty,579,104,87,388,2024-04-07,received,False,Card,TVS Jupiter,Arjun
TXN0184,BK0184,U141,Rahul,140,Nainital,Scooty,3220,580,483,2157,2024-03-06,pending,False,Net Banking,Honda Activa,Rahul
TXN0185,BK0185,U146,Aditi,758,Dehradun,Scooty,3684,663,553,2468,2024-03-19,pending,False,Card,Yamaha Fascino,Aditi
TXN0186,BK0186,U265,Aman,986,Nainital,Scooty,2516,453,377,1686,2024-02-25,pending,False,Card,Suzuki Access,Aman
TXN0187,BK0187,U297,Arjun,265,Mussoorie,Bike,1980,356,297,1327,2024-01-03,pending,False,UPI,TVS Apache RTR 160,Arjun
TXN0188,BK0188,U359,Arjun,874,Dehradun,Bike,4354,784,653,2917,2024-03-23,received,False,Net Banking,Yamaha FZ,Arjun
TXN0189,BK0189,U300,Aditi,53,Dehradun,Scooty,559,101,84,374,2024-02-03,pending,False,Card,Yamaha Fascino,Aditi
TXN0190,BK0190,U042,Sneha,27,Dehradun,Car,8358,1504,1254,5600,2024-01-28,pending,False,UPI,Maruti Alto,Sneha
TXN0191,BK0191,U478,Karan,969,Nainital,Car,7388,1330,1108,4950,2024-01-14,received,False,Cash,i20,Karan
TXN0192,BK0192,U184,Rohit,429,Dehradun,Car,6960,1253,1044,4663,2024-04-03,received,False,Net Banking,i10,Rohit
TXN0193,BK0193,U040,Rohit,556,Nainital,Bike,2652,477,398,1777,2024-03-05,pending,False,Cash,TVS Apache RTR 160,Rohit
TXN0194,BK0194,U197,Neha,504,Auli,Car,15774,2839,2366,10569,2024-02-07,received,False,Cash,City,Neha
TXN0195,BK0195,U105,Aditi,291,Mussoorie,Car,12078,2174,1812,8092,2024-01-27,received,False,Card,Sonet,Aditi
TXN0196,BK0196,U223,Pooja,590,Nainital,Scooty,3670,661,550,2459,2024-02-11,received,False,Net Banking,Ather 450X,Pooja
TXN0197,BK0197,U166,Aditi,778,Dehradun,Bike,493,89,74,330,2024-03-23,received,False,UPI,Bajaj Pulsar 150,Aditi
TXN0198,BK0198,U439,Aman,725,Mussoorie,Scooty,2995,539,449,2007,2024-01-30,received,False,Cash,Suzuki Access,Aman
TXN0199,BK0199,U070,Pooja,845,Dehradun,Scooty,3336,600,500,2236,2024-02-03,received,False,Cash,TVS Jupiter,Pooja
TXN0200,BK0200,U037,Rohit,483,Nainital,Car,19936,3588,2990,13358,2024-03-30,received,False,UPI,Creta,Rohit
TXN0201,BK0201,U411,Arjun,457,Haridwar,Bike,687,124,103,460,2024-02-08,received,False,UPI,Yamaha R15,Arjun
TXN0202,BK0202,U029,Rahul,883,Dehradun,Bike,3174,571,476,2127,2024-01-31,pending,False,Cash,Bajaj Pulsar 150,Rahul
